reelid,comments,Model No.,Expiration Date
000036343,212018,216WLS,12/2012
000037,224698,8327,12/2012
0001,173960,216WLS,12/2011
00017,173951,216WLS,12/2011
000195,224526,8327,12/2009
0002,173952,216WLS,12/2011
00021,246351,,
0002107,224411,E552D,12/2011
00022,252485,,
0002262,224409,650-58,12/2011
000272,224551,10022573,12/2009
0003,174180,216WLS,12/2011
0004,212071,216WLS,12/2011
0004114,224612,913WLS,12/2010
000482,224423,8327,12/2011
0004995,224420,8327,12/2012
0005,173967,216WLS,12/2011
00052,239727,,
0006-A,173962,216WLS,12/2011
0007,173958,216WLS,12/2011
000734,173923,8327,12/2009
0008,173964,216WLS,12/2011
0009,173981,216WLS,12/2011
0010,173947,216WLS,12/2011
001083,173955,8327,12/2009
001098,224603,8327,12/2012
001-1,224605,913WLS,12/2009
00110222,217389,8327,12/2011
00112441,174190,8327,12/2011
00116292,224447,8327,12/2011
00116294,224404,8327,12/2011
001198,224589,8327,12/2012
0012,224414,216WLS,12/2011
001254,174084,8327,12/2012
001360,174200,8327,12/2012
001363,174119,8327,12/2012
001365,232035,,
001428,224534,8327,12/2011
001627,174085,8327,12/2009
001651,174098,8327,12/2012
001652,173985,8327,12/2009
001672,174004,8327,12/2012
001675,173950,8327,12/2009
001706,173968,8327,12/2009
001725,174159,8327,12/2009
001729,174167,8327,12/2009
001744,174198,8327,12/2009
001746,174008,8327,12/2011
0018084,241163,,
001857,246348,,
001862,224538,8327,12/2009
001864,224422,8327,12/2009
001869,224510,8327,12/2011
001918,174079,8327,12/2009
002,224501,216WLS,12/2010
002049,174109,415489,12/2009
002215,173961,8327,12/2011
002509,224446,8327,12/2011
002589,174191,8327,12/2011
002590,174137,8327,12/2011
0026759,224592,970171,12/2010
0026760,224454,970171,12/2010
0026762,224568,E552,12/2010
0026765,173954,970171,12/2012
0026780,217495,970171,12/2011
0026789,217490,970171,12/2011
002993,224556,8327,12/2011
0030,224574,216WLS,12/2010
003169,212065,8327,12/2010
003216,174182,,
00325732,224457,552,12/2011
003259,174193,8327,12/2011
003300,174081,8327,12/2011
003305,173974,8327,12/2011
003312,174195,8327,12/2011
0033556,224692,913WLS,12/2010
003379,224426,8327,12/2011
0033888,224568,913WLS,12/2009
003407,224557,8327,12/2012
003420,224594,8327,12/2011
003426,239730,,
003459,2245567,8327,12/2012
0035560,224580,913WLS,12/2010
0036209,224699,216WLS,12/2010
0036230,224540,E552,12/2011
0036253,173837,913WLS,12/2012
0036357,224624,913WLS,12/2010
0036370,174148,913WLS,12/2012
003865,217387,8327,12/2009
004,224585,216WLS,12/2012
004200,174039,8327,12/2011
004569,224558,,
004605,173972,8327,12/2011
004612,!74131,8327,12/2011
004643,224537,8327,12/2011
004664,224554,8327,12/2011
004672,224620,8327,12/2011
004731,212015,8327,12/2011
004733,224595,8327,12/2011
004735,212004,8327,12/2011
004737,212024,8327,12/2011
004744,224621,8327,12/2012
004989,212046,8327,12/2010
005017,Pass,241476,
005024,246750,,
005092,191235,,12/2011
005096,191267,,12/2011
005098,191229,,12/2011
0053408,212026,216WLS,12/2012
005347,191260,8327,12/2011
005354,191239,8327,12/2011
005356,101241,,12/2011
005371,191261,,12/2011
005401,191259,,12/2011
005413,191207,,12/2011
005446,191223,,12/2011
005493,212077,8327,12/2011
005497,212055,8327,12/2011
005498,212014,8327,12/2011
005503,212016,8327,12/2011
005504,212007,8327,12/2011
005512,224896,8327,12/2011
0055192,191291,216WLS,12/2012
0055229,252419,,
0055231,252439,,
0055237,191257,216WLS,12/2012
0055250,191217,216WLS,12/2012
0074520,224513,913WLS,12/2008
008004,217488,216WLS,12/2012
010120,173978,216WLS,12/2011
010405,174087,LT12,12/2012
010413,174177,LT12,12/2012
0123194,217604,913WLS,12/2012
0123211,224634,913WLS,12/2012
0133189,224571,913WLS,12/2010
020660,224562,2008-PH07,12/2012
024017,174078,415490,12/2011
025225,174023,415490,12/2011
026819,224531,415490,12/2011
030411,224532,2008-PH07,12/2011
0306,224406,1220007,12/2011
0315387,224564,552,12/2008
032353,173987,415490,12/2009
032458,224633,415490,12/2010
033364,246358,,
033419,224566,913WLS,12/2010
0360064,224408,552,12/2011
0360079,224596,E552,12/2008
0384990,174129,E552,12/2012
0391143,224604,552,12/2011
0391187,224495,E552,12/2011
039561,217386,502733,12/2011
040456,174002,415490,12/2011
040653,224645,501562,12/2012
0406941,217372,E552,12/2012
0406949,217391,E552,12/2011
0406955,224572,E552,12/2009
0406957,217397,E552,12/2012
0406966,224856,E552,12/2011
0406973,224565,E552,12/2008
0406974,246874,,
0407436,224451,913WLS,12/2011
0415408,224575,E552,12/2012
0415734,224521,E552,12/2012
0415739,224579,E552,12/2008
0417329,224586,E552,12/2011
041921,174181,415490,12/2012
042050,173860,415490,12/2012
0430200814481556,224403,216WLS,12/2012
04302008145013233,224560,216WLS,12/2011
043203,174025,501562,12/2012
0432524,224587,E552,12/2011
0432531,173976,E552,12/2011
0432533,224616,E552,12/2012
0432534,174164,E552,12/2011
0432537,174100,E552,12/2011
0432538,224506,E552,12/2012
0432540,224514,E552,12/2010
0432552,224405,E552,12/2011
0432559,224697,E552,12/2012
0432563,224581,E552,12/2008
0432708,224523,216WLS,12/2011
0435578,224561,E552,12/2009
0435580,224505,E552,12/2011
0437359,173939,E552,12/2011
0438908,252478,,
044834,174015,501562,12/2011
0465156,224584,E552,12/2011
0465156,Locker,,
052488,224429,415490,12/2011
0525,174118,8327,12/2010
052637,173994,415490,12/2010
0529242,174024,E552,12/2010
053930,173928,501562,12/2012
0541457,224650,E552,12/2012
0541474,224610,E552,12/2012
0541524,224511,E552,12/2010
054783,224525,415490,12/2011
054809,173988,415490,12/2011
0548210,224588,415490,12/2011
054825,224613,415490,12/2011
0551918,217557,E552/UGNU,12/2012
0551935,224508,E552,12/2011
055444,224500,502733,12/2011
0556971,224550,E552,12/2011
056145,224431,415490,12/2011
056151,224425,415490,12/2011
056155,224619,415490,12/2011
0571860,173910,E552,12/2011
0571871,173918,E552,12/2011
0582109,173921,E650-58,12/2012
05856,174153,913WLS,12/2011
05863,239814,,
05878,224628,913WLS,12/2011
060062,224553,415490,12/2011
060073,212039,415490,12/2011
060074,212029,415490,12/2011
060078,212088,415490,12/2011
060079,224857,415490,12/2011
060081,224416,502733,12/2012
060087,212044,415490,12/2011
060218,173983,415490,12/2011
060231,173990,415490,12/2011
060235,174151,415490,12/2011
060240,246370,,
060241,224577,415490,12/2011
060326,174114,415490,12/2011
060330,173993,415490,12/2011
060332,173959,415490,12/2011
061677,217856,415490,12/2011
061689,Pass,241484,
061739,217382,415490,12/2011
063277,173801,7435,12/2011
0639207,224539,E552,12/2012
0689500,224527,E552D,12/2008
069125,224543,501222,12/2011
070010,224502,216WLS,12/2008
0703163,173913,E552,12/2012
0705599,173866,E552,12/2008
073757,224617,505282,12/2011
07531,217368,913WLS,12/2012
07551,224515,913WLS,12/2010
0783575,174094,E552,12/2011
0817,217380,216WLS,12/2011
0841737,224623,E552,12/2012
0841738,217554,E552/UGNU,12/2011
0841754,224417,E552,12/2009
0841771,173935,E552,12/2012
0841779,217383,E552,12/2012
0841780,174072,E552,12/2011
0875348,173902,E552D,12/2011
0875375,174088,E552D,12/2010
090400,252445,,
090408,252474,,
0938471,224618,,
10005,217388,8327,12/2012
1004958,224545,E552D,12/2009
1004959,224442,E552D,12/2008
1004960,224415,E552D,12/2009
1004961,224528,E552D,12/2008
1004962,217639,E552D,12/2012
1004964,224518,E552D,12/2012
1004965,224496,E552D,12/2009
1004966,224437,E552D,12/2008
1005078,174172,E552,12/2011
1006001,217681,E552,12/2012
1034508,217643,E552,12/2012
1034513,217683,E552,12/2012
1034514,217356,E552,12/2012
1034520,217663,E552,12/2009
1034522,173966,E552,12/2012
1034532,217641,E552,12/2012
1034538,217666,E552,12/2012
1034541,217669,E552,12/2012
1034543,217615,E552,12/2012
1034545,174170,E552,12/2012
1034548,217376,E552,12/2009
1034549,217668,E552,12/2012
1034551,217381,E552,12/2009
1035954,217538,E552/UGNU,12/2012
1035957,174120,E552,12/2010
1035958,217602,E552,12/2012
1035960,217631,E552,12/2012
1035961,217635,E552,12/2012
1035963,173933,E552,12/2011
1035967,217354,E552,12/2012
1035969,217632,E552,12/2012
1035970,217301,E552,12/2012
1035971,217263,E552,12/2012
1035974,173980,E552,12/2009
1035975,174090,E552,12/2010
1035979,217653,E552,12/2012
1035980,217462,E552/UGNU,12/2012
1035981,217322,E552D,12/2012
1035983,217276,E552,12/2012
1035986,217211,E552,12/2008
1035991,217374,E552,12/2012
1035992,224524,E552,12/2009
1035996,217309,E552,12/2012
1035997,217885,E552,12/2012
1035999,217625,E552,12/2012
1036000,217245,E552,12/2012
1044532,174192,E552,12/2011
1044535,174017,E552,12/2010
1044537,174163,E552,12/2011
1044538,246366,,
1044539,174113,E552,12/2011
1044546,174001,E552,12/2010
1044547,174112,E552,12/2011
1045607,174135,E552,12/2012
1050895,217622,E552,12/2012
1050896,217645,E552,12/2012
1050897,217254,E552,12/2012
1056671,217684,E552D,12/2012
1057254,174133,E552,12/2012
1057266,174132,E552,12/2010
1057270,174194,E552,12/2009
1057276,174111,E552,12/2011
1057280,174162,E552,12/2010
1057289,173819,E552,12/2010
1057291,174128,E552,12/2009
1057301,174140,E552,12/2012
1058490,174150,E552,12/2011
1058526,217673,E552,12/2012
1058527,174136,E552,12/2012
1058529,174014,E552,12/2011
1058532,217201,E552,12/2008
1058534,174010,E552,12/2011
1058536,174145,E552,12/2011
1058538,173838,E552,12/2009
1058540,217367,E552,12/2012
1058543,173911,E552,12/2011
1058544,174125,E552,12/2009
1058545,217658,E552,12/2012
1058547,173912,E552,12/2009
1058548,174186,E552,12/2010
1058549,217634,E552,12/2012
1058553,173965,E552,12/2011
1058554,173924,E552,12/2010
1058555,217675,E552,12/2012
1058556,173920,E552,12/2010
1058557,217222,E552,12/2008
1058559,173908,E552,12/2009
1058560,173949,E552,12/2010
1058562,174185,E552,12/2010
1058563,174144,E552,12/2011
1058565,174115,E552,12/2012
1058566,174030,E552,12/2009
1058568,174035,E552,12/2009
1058570,174176,E552,12/2010
1058572,217623,E552,12/2012
10614-1,224477,8327,12/2010
1065225,217315,E552,12/2012
107001,217378,216WLS,12/2011
1073789,217304,E552,12/2012
1076545,217280,E552,12/2008
1076560,224614,E552,12/2011
1092245,224700,E552,12/2010
1104488,217240,E552,12/2008
1123821,224544,E552,12/2010
1125443,174166,8327,12/2010
112903,217698,8327,12/2012
112973,217333,8327,12/2011
1132291,224615,E552,12/2011
1132293,224555,E552,12/2010
1132303,217294,E552,12/2008
1132304,217339,E552,12/2012
11323-1,224599,8327,12/2012
1132313,217335,E552,12/2009
1132315,224590,E552,12/2010
1132316,217655,E552,12/2012
1132324,217371,E552,12/2012
113239,174011,8327,12/2010
113262,224576,8327,12/2012
113836,217300,8327,12/2012
113838,224503,8327,12/2011
114029,217204,8327,12/2010
114040,174099,8327,12/2011
114062,173986,8327,12/2011
1141,217318,T7314,12/2011
1142,217351,T7314,12/2011
115982,217327,8327,12/2010
116209,173941,8327,12/2012
117145,224569,913WLS,12/2011
1172765,217687,E552,12/2012
117739,174173,8327,12/2012
119876,212013,502733,12/2010
120875,224410,501222,12/2011
120934,174096,501222,12/2010
1211200882031938,212019,8327,12/2011
121120088203542,212005,216WLS,12/2011
121120088203937,212072,216WLS,12/2011
121120088204236,212011,216WLS,12/2011
1211200882045435,224864,216WLS,12/2011
1211200882314468,224401,8327,12/2009
1211200882330460,224627,216WLS,12/2011
121120088238293,224414,216WLS,12/2010
1211200882451249,224643,216WLS,12/2011
1211200882617122,173835,502733,12/2011
12112008826528,173810,415490,12/2011
121120088269261,224403,216WLS,12/2011
123456,224438,505282,12/2009
125162,217678,501222,12/2012
1254088,174106,913WLS,12/2012
1254092,173979,913WLS,12/2011
1254121,174142,913WLS,12/2011
1254154,217317,913WLS,12/2011
1254166,174121,913WLS,12/2011
1254199,224536,913WLS,12/2010
1254226,217239,913WLS,12/2010
1254229,173906,913WLS,12/2011
1254256,174149,913WLS,12/2011
1254319,173937,913WLS,12/2011
1254321,173938,913WLS,12/2011
127082,224563,501222,12/2008
1271362,224629,E552,12/2011
1271372,220344,E552,12/2010
1271375,217394,E552,12/2011
1271385,224597,E552,12/2009
1271386,212096,E552,12/2010
127356,217893,501222,12/2012
1273735,220391,E552,12/2010
1273739,217586,E552/UGNU,12/2012
1273753,220338,E552,12/2010
1273775,220329,E552,12/2010
1273942,220379,E552,12/2010
1330224,212081,E552D,12/2010
1358328,217330,E552D,12/2009
135955,174179,E552,12/2011
1361259,217385,913WLS,12/2012
1361261,Pass,220614,
1361638,241134,,
1366736,246829,,
1367458,217216,913WLS,12/2011
139279,220342,E552,12/2010
139286,220309,E552,12/2010
1427200874937779,217492,216WLS,12/2011
1427200874940851,217460,216WLS,12/2011
1427200875044132,191279,,
143142,217843,501222,12/2012
146945,174134,502733,12/2012
146953,217241,502733,12/2011
150871,217246,502733,12/2012
1528200883220486,217392,8327,12/2011
153004,224631,502733,12/2012
153020,224559,502733,12/2011
153026,173833,502733,12/2010
153027,224611,502733,12/2009
153055,224548,502733,12/2008
153064,224583,415490,12/2011
155256,217857,502733,12/2012
156023,217884,502733,12/2012
163725,224533,FL-11,12/2011
17891,241175,,
180337,212057,502733,12/2009
183858,224582,8327,12/2012
188951,217303,502733,12/2012
192017,173904,502733,12/2009
193565,173940,502733,12/2012
195474,174138,502733,12/2009
1F519,252453,,
203521,173925,502733,12/2012
203640,212008,502733,12/2012
204670,174139,8183,12/2009
204701,173916,8183,12/2009
204707,174080,8183,12/2012
204708,174031,8183,12/2010
215884,174033,8183,12/2009
215891,174013,8183,12/2010
215895,173828,8183,12/2011
215901,174016,8183,12/2012
215928,173943,8183,12/2011
215952,174105,8183,12/2009
216054,174110,8183,12/2011
216059,174026,8183,12/2009
216061,174183,8183,12/2010
216093,173926,8183,12/2010
216104,173932,8183,12/2011
216177,173834,8183,12/2010
216228,173971,8183,12/2011
216235,173946,8183,12/2011
216246,173922,8183,12/2011
216264,173936,8183,12/2011
216271,173982,8183,12/2011
216273,173945,8183,12/2010
216283,174196,8183,12/2009
216287,173942,8183,12/2011
216291,174092,8183,12/2009
216292,173948,8183,12/2011
216306,173944,8183,12/2010
216315,173953,8183,12/2011
216322,173969,8183,12/2011
216332,173957,8183,12/2011
216349,173956,8183,12/2011
216526,174199,502733,12/2010
216528,224578,502733,12/2010
216534,174187,502733,12/2011
216767,174022,502733,12/2011
216769,174130,502733,12/2011
216772,174141,502733,12/2011
216853,174006,502733,12/2011
216855,173988,502733,12/2011
216856,173841,502733,12/2011
216858,224509,502733,12/2011
216860,174000,502733,12/2011
216862,173970,502733,12/2011
2266-1,217672,T7314,12/2012
2288538,224406,1220007,12/2011
2400,217249,216WLS,12/2009
2401,217255,216WLS,12/2010
2402,217253,216WLS,12/2011
2403,217321,216WLS,12/2011
24759,217486,2008-PH07,12/2011
256055,217500,E552/UGN,12/2012
256056,191273,E552/UGN,12/2012
256058,217313,E552,12/2011
256060,217468,E552/UGN,12/2012
271170,224519,502733,12/2011
273155,224436,502733,12/2012
281488,217203,RKNAR-TB,12/2012
281489,211208,RKNAR-TB,12/2012
282932,174103,502733,12/2012
284760,173977,502733,12/2011
284761,173907,502733,12/2011
284762,173995,502733,12/2011
284763,174197,502733,12/2011
284768,174189,502733,12/2011
284770,173996,502733,12/2011
284771,173917,502733,12/2011
284772,173991,502733,12/2011
284774,224591,415490,12/2009
284775,173992,502733,12/2011
284776,174117,502733,12/2011
284779,174169,502733,12/2011
284780,173963,502733,12/2011
284782,224685,502733,12/2011
284783,174174,502733,12/2011
287622,212031,502733,12/2011
287626,212092,502733,12/2011
287627,212075,502733,12/2011
287628,212074,502733,12/2011
287631,212084,502733,12/2011
287632,212093,502733,12/2011
287636,212095,502733,12/2011
287637,212073,502733,12/2011
287639,212009,502733,12/2011
287640,212091,502733,12/2011
290149,217233,502733,12/2011
290153,212033,502733,12/2012
290162,217272,502733,12/2011
290165,212070,502733,12/2012
290166,212037,502733,12/2012
290169,212063,502733,12/2011
290287,217206,502733,12/2011
290515,217834,502733,12/2011
290523,217877,502733,12/2011
290777,217230,502733,12/2011
291805,220304,502733,12/2011
291806,212082,502733,12/2011
291807,,502733,12/2011
291809,212090,502733,12/2011
291810,212022,502733,12/2012
291812,212058,502733,12/2011
291813,212030,502733,12/2011
291814,212027,502733,12/2011
291821,212032,502733,12/2012
291823,212085,502733,12/2011
291826,212094,502733,12/2011
291827,212047,502733,12/2012
291829,212035,502733,12/2011
291966,212028,502733,12/2012
298535,224443,E650-58,12/2012
300748,217863,8798B,12/2010
300758,217895,8798B,12/2010
300778,217807,8798B,12/2010
300790,252467,,
308196,173843,E552,12/2011
360,224418,8878-6,12/2009
38082,224541,216WLS,12/2009
421451,173997,8327,12/2009
42611,174122,8327,12/2009
42613,174188,8327,12/2009
42615,174165,8327,12/2010
42618,174158,8327,12/2012
42619,174101,8327,12/2012
42622,174018,8327,12/2012
42623,174102,8327,12/2012
426423,173984,8327,12/2012
426425,174155,8327,12/2010
426426,174012,8327,12/2010
426427,174005,8327,12/2009
426429,173914,8327,12/2010
426430,174175,8327,12/2010
426431,174108,8327,12/2009
426432,173930,8327,12/2010
426433,173973,8327,12/2008
426434,246357,,
426436,173820,8327,12/2010
426437,174058,8327,12/2012
426438,174157,8327,12/2012
426440,224593,8327,12/2012
426441,174171,8327,12/2012
4264411,173901,8327,12/2012
426442,174116,8327,12/2010
426445,174147,8327,12/2012
426447,174168,8327,12/2012
426448,174097,8327,12/2009
426450,173839,8327,12/2009
4265,173927,8327,12/2010
4266,174161,8327,12/2012
4268,174143,8327,12/2012
4269,174152,8327,12/2012
50581,217892,PFL-7,12/2009
50936,217865,PFL-7,12/2009
5124,173811,8327,12/2012
525,224419,8183,12/2009
548,224412,8183,12/2008
566,252422,,
5984,174178,216WLS,12/2011
605,224486,913WLS,12/2008
698,252469,,
77817,173840,202RLS,12/2012
80984,217352,MILLER FL11,12/2012
81308,241167,,
813-12,173864,913WLS,12/2010
8204,217393,8327,12/2011
83309V,217528,M55/50',12/2011
83314V,217542,M55/50',12/2011
83372V,217559,55/75',12/2011
8901,173989,8327,12/2010
9401,173905,8327,12/2009
9401-1,224516,8327,12/2011
9401-4,173905,,
972236,174154,E552,12/2012
972245,174123,E522,12/2012
974698,174146,E552,12/2010
974700,174160,E552,12/2009
987791,224520,E552D,12/2010
A01626,224641,miller 470,12/2009
CGL08132008095231523,246326,,
CGL08132008095319565,173938,,
CGL08132008095331774,173909,,
CGL08132008095345948,173924,,
CGL08132008095400893,173910,,
CGL08132008095414806,173927,,
CGL08132008095428664,173930,,
CGL08132008095439434,173940,,
CGL08132008095447356,173987,,
CGL08132008095501488,173918,E552,12/2012
CGL08132008095512412,173999,,
CGL08132008095519099,173989,,
CGL08132008224930412,173922,,
MSA(8599,217481,8327,12/2009
MSA49383,217274,8327,12/2009
MSA49384-1,217235,8327,12/2009
MSA49650,217886,202124,12/2012
MSA49650B,217861,202131,12/2012
MSA49651,217890,8878-6,12/2012
MSA49652,217804,8183,12/2012
MSA49656,252458,,
MSA49657,217880,8183,12/2012
MSA49658A,252462,,
MSA49658B,252471,,
MSA49661,217860,8183,12/2012
MSA49664,252484,,
MSA49667,217891,202124,12/2011
MSA49667B,217810,202131,12/2011
MSA49671A,252451,,
MSA49671B,252488,,
MSA49672,217869,8183,12/2012
MSA69475,174020,8327,12/2009
MSA69478,174095,8327,12/2012
MSA69944,217295,8327,12/2012
MSA69946,217608,8327,12/2010
MSA69947,217366,8327,12/2012
MSA69952,252427,,
MSA70153,224401,8327,12/2011
MSA70154,224638,8327,12/2012
MSA9070,217677,8327,12/2011
MSA98451,217536,8327,12/2012
MSA98452,217575,8327,12/2012
MSA98453,217398,8327,12/2012
MSA98455,217332,216WLS,12/2009
MSA98456,217349,8327,12/2012
MSA98457,217626,8327,12/2011
MSA98458,217603,8327,12/2012
MSA98459,217680,8327,12/2012
MSA98460,217292,8327,12/2012
MSA98462,217361,8327,12/2012
MSA98463,217396,8327,12/2012
MSA98464,217665,8183,12/2009
MSA98465,217647,8327,12/2012
MSA98466,217671,8327,12/2012
MSA98467,173934,8327,12/2012
MSA98468,217690,8327,12/2012
MSA98477,217628,216WLS,12/2012
MSA98478,217217,216WLS,12/2012
MSA98479,217652,216WLS,12/2012
MSA98480,217223,8327,12/2012
MSA98483,217353,8327,12/2012
MSA98484,217619,8327,12/2012
MSA98485,217637,8327,12/2012
MSA98486,217656,8327,12/2012
MSA98487,217220,216WLS,12/2012
MSA98488,217299,8327,12/2012
MSA98490,217657,8327,12/2012
MSA98491,217310,8327,12/2012
MSA98492,217221,8327,12/2012
MSA98493,217369,216WLS,12/2012
MSA98494,217210,8327,12/2012
MSA98510,217286,216WLS,12/2012
MSA98511,217659,216WLS,12/2012
MSA98584,174124,LT12,12/2012
MSA98585,174156,913WLS,12/2012
MSA98596,224407,216WLS,12/2012
MSA98597,217601,T7314,12/2011
MSA98598,217674,216WLS,12/2012
MSA98601,212056,216WLS,12/2010
MSA98605,224522,913WLS,12/2009
MSA98608,224573,913WLS,12/2011
MSA98710,217642,216WLS,12/2012
MSA98712,217633,216WLS,12/2011
MSA98713,217270,216WLS,12/2012
MSA98714,217640,216WLS,12/2012
MSA98715,217614,216WLS,12/2012
MSA98716,217370,216WLS,12/2011
MSA98905,224549,913WLS,12/2012
MSA98908,217685,8327,12/2012
MSA98910,217224,8327,12/2012
MSA99186,217336,216WLS,12/2012
MSA99187,217484,216WLS,12/2011
MSA99188,176919,8327,12/2011
MSA99189,173999,216WLS,12/2011
MSA99190,173903,216WLS,12/2012
MSA99191,174127,216WLS,12/2012
MSA99193,173915,913WLS,12/2012
MSA99194,174019,8327,12/2009
MSAO00242,217229,8327,12/2012
O00134,217696,10022573,12/2012
O0015,217896,216WLS,12/2012
O0023,217261,8327,12/2011
O01053,217360,8327,12/2012
O0106894,217670,8327,12/2010
O01220,217305,8327,12/2012
O01397,217644,8327,12/2012
O01863,217225,8327,12/2008
O01947,217693,8327,12/2012
O02213,217345,8327,12/2012
O026793,217621,E552,12/2011
O030603,217610,913WLS,12/2012
O03219,217343,8327,12/2009
O033436,217244,913WLS,12/2012
O033473,217362,913WLS,12/2012
O033890,217620,216WLS,12/2011
O036316,217667,913WLS,12/2009
O036672,217689,913WLS,12/2011
O038473,217617,8798-6,12/2011
O04205,217219,8327,12/2010
O046390,217242,216WLS,12/2012
O05,217612,216WLS,12/2010
O05000,217320,8327,12/2011
O05009,217654,8327,12/2011
O05011,217328,8327,12/2011
O05016,217679,8327,12/2011
O05101,217214,8327,12/2011
O05138,217209,8327,12/2011
O053350,217607,913WLS,12/2012
O05450,217312,8327,12/2011
O07003,217307,216WLS,12/2010
O08005,217700,216WLS,12/2010
O08006,217662,216WLS,12/2011
O08007,217694,216WLS,12/2011
O08008,217650,216WLS,12/2009
O08013,217375,216WLS,12/2011
O09,217629,216WLS,12/2011
O108792,217606,913WLS,12/2011
O1180,217699,8798SS,12/2012
O123172,217326,913WLS,12/2010
O123206,217682,913WLS,12/2011
O123450,217897,8183,12/2011
O15339,217337,415490,12/2012
O26732,217308,501562,12/2012
O27646,217324,501562,12/2009
O27676,217365,415490,12/2012
O28669,217325,505282,12/2011
O29085,217311,505282,12/2011
O30731,217611,2008PH07,12/2010
O32264,217306,501562,12/2012
O32899,217316,501562,12/2012
O363878,217293,E552,12/2012
O384972,217329,E552,12/2012
O385465,217624,E552,12/2012
O406932,217238,E552,12/2010
O406933,217691,E552,12/2010
O406939,217646,E552,12/2009
O406947,217251,E552,12/2009
O406951,217243,E552,12/2010
O406962,217338,E552,12/2010
O406963,217695,E552,12/2010
O406972,217618,E552,12/2012
O406979,217331,E552,12/2010
O40921,217686,501562,12/2009
O415700,217355,E552,12/2012
O416726,217358,E552,12/2012
O416736,217840,E552,12/2012
O416753,217627,E552,12/2010
O417304,217314,E552,12/2011
O42316,217287,415490,12/2012
O453980,217377,E552D,12/2012
O55936,217359,501222,12/2011
O582154,217390,E552,12/2010
O602318,217228,E552D,12/2011
O61727,217334,415490,12/2011
O61735,217302,415490,12/2011
O61744,217231,415490,12/2011
O61747,217808,415490,12/2011
O639199,217613,E552D,12/2012
O7002,217340,216WLS,12/2011
O705577,217399,E552,12/2012
O7510,217291,913WLS,12/2012
O7517,217676,913WLS,12/2012
O7524,217258,913WLS,12/2012
O7533,217319,913WLS,12/2012
O7539,217609,913WLS,12/2012
O7547,217661,913WLS,12/2012
O7551,217660,913WLS,12/2012
O7552,217364,913WLS,12/2012
O7572,217616,913WLS,12/2012
O7587,217284,913WLS,12/2012
O7588,217346,913WLS,12/2012
O7591,217212,913WLS,12/2008
O7607,217638,913WLS,12/2012
O841739,217218,E552,12/2012
O841740,217283,E552,12/2012
O841743,217636,E552,12/2012
O841753,217688,E552,12/2012
O841766,217605,E552,12/2012
O875386,217692,E552D,12/2012
O92301,217379,501222,12/2011
O94796,217341,502733,12/2012
OO33401,217400,913WLS,12/2012
OO35267,217373,216WLS,12/2009
OO385467,217348,E552,12/2012
OO4589,217384,8327,12/2010
OO5012,217342,8327,12/2011
OO53396,217566,,
OOO182,217562,216WLS,12/2012
S76970,224530,216WLS,12/2012
S770021,224693,216WLS,12/2012
ST6994,217347,216WLS,12/2011
WH00017,173975,216WLS,12/2011
YT6274,173929,Miller 5M297,12/2012
YT9796,217664,216WLS,12/2011
YT9797,217651,216WLS,12/2009
YT9798,217649,216WLS,12/2011
YT97988,217648,216WLS,12/2010
YT9799,217630,551,12/2012
YT9800,217697,216WLS,12/2010
YT9898,173897,216WLS,12/2011
