71,"Reitmans Department Store","1309 Carling Ave.","Westgate Shopping Centre","OTTAWA","ON",518
75,"Reitmans Department Store","2269 Riverside Dr. E","Billing Bridge Shopping Centre","OTTAWA","ON",518
78,"Reitmans Department Store","661-679 Upper James St.","Mountain Plaza","HAMILTON","ON",548
88,"Reitmans Department Store","419 King Street West, #2500","Oshawa Centre,","OSHAWA","ON",502
94,"Reitmans Department Store","900 Dufferin St.","Dufferin Mall","TORONTO","ON",537
98,"Reitmans Department Store","1349 Lasalle Blvd.","New Sudbury S.C.","SUDBURY","ON",507
106,"Reitmans Department Store","85 Ellesmere Rd.","Parkway Mall, Unit 28 A","SCARBOROUGH","ON",537
108,"Reitmans Department Store","221 Glendale Ave.","The Pen Centre, Unit 80","ST CATHARINES","ON",548
113,"Reitmans Department Store","1076 Bliss St.","Oromocto S.C.","OROMOCTO","NB",519
128,"Reitmans Department Store","979 Fennel Ave. E.","Fennell S.C.","HAMILTON","ON",548
141,"Reitmans Department Store","6455 MacLeod Trail","Chinook Centre #110","CALGARY","AB",521
144,"Reitmans Department Store","3495 Lawrence Ave. E.,","Cedarbrae Mall","SCARBOROUGH","ON",537
150,"Reitmans Department Store","250 The East Mall","Cloverdale Mall, Unit 219","ETOBICOKE","ON",501
163,"Reitmans Department Store","285 Geneva St.","Fairview Mall, Unit #E6","ST CATHARINES","ON",548
168,"Reitmans Department Store","4567 Lougheed Hwy","Brentwood Mall","BURNABY","BC",522
171,"Reitmans Department Store","45 Overlea Blvd.","East York Town Centre","TORONTO","ON",537
172,"Reitmans Department Store","302 Prince St.","Sydney S.C.","SYDNEY","NS",519
186,"Reitmans Department Store","7001 Mumford Rd.","Halifax S.C., Unit #106/107","HALIFAX","NS",519
188,"Reitmans Department Store","75 King St. S.","Waterloo Town Square Unit #35","WATERLOO","ON",548
193,"Reitmans Department Store","7652 Tecumseh Rd. E.","Tecumseh Mall","WINDSOR","ON",504
210,"Reitmans Department Store","621 Fairville Blvd.","Lancaster Mall","SAINT JOHN","NB",519
211,"Reitmans Department Store","241 Albert St.","Northgate Mall","REGINA","SK",524
216,"Reitmans Department Store","1925 Dundas St. E.","Argyle Mall","LONDON","ON",504
220,"Reitmans Department Store","1194 Guildford Town Centre","Guildford Town Centre","SURREY","BC",522
225,"Reitmans Department Store","48 Kenmount Road","Avalon Park Shopping Centre","ST. JOHN'S","NL",549
227,"Reitmans Department Store","66 Wellington St. W.","Toronto Dominion Centre","TORONTO","ON",537
228,"Reitmans Department Store","1200 St. Laurent Blvd.,","Unit #144","OTTAWA","ON",518
235,"Reitmans Department Store","777 Guelph Line","Burlington Mall","BURLINGTON","ON",548
238,"Reitmans Department Store","1100 Main Street","Highfield Square","MONCTON","NB",519
239,"Reitmans Department Store","499 Main St. S. Unit 189","Brampton Shoppers' World,","BRAMPTON","ON",501
240,"Reitmans Department Store","5201 Duke St.","Scotia Square,","HALIFAX","NS",519
241,"Reitmans Department Store","9855 Austin Road,","Lougheed Mall","BURNABY","BC",522
242,"Reitmans Department Store","2225 Erin Mills","Sheridan Mall","MISSISSAUGA","ON",501
245,"Reitmans Department Store","465 University Ave.","Belvedere Plaza","CHARLOTTETOWN","PE",519
248,"Reitmans Department Store","1530 Albion Rd.","Shopper's World Albion","ETOBICOKE","ON",501
253,"Reitmans Department Store","3100 Howard Ave.","Devonshire Mall, D7A","WINDSOR","ON",504
265,"Reitmans Department Store","300 Mystery Lake Rd., Unit 1200","City Centre Mall,","THOMPSON","MB",503
269,"Reitmans Department Store","2271 Harvey Ave.","Orchard Park Shopping Centre,","KELOWNA","BC",525
277,"Reitmans Department Store","3800 Memorial Dr. N.E.","Malborough Mall","CALGARY","AB",521
278,"Reitmans Department Store","7205 Goreway Drive","Westwood Mall","MISSISSAUGA","ON",501
279,"Reitmans Department Store","10153 King George Hwy.","Central City","SURREY","BC",522
284,"Reitmans Department Store","145 Silver Creek Parkway North,","Willow West Mall","GUELPH","ON",548
291,"Reitmans Department Store","1355 Kingston Rd. Unit 107","Pickering Town Centre,","PICKERING","ON",502
296,"Reitmans Department Store","25 Peel Centre Drive, Unit 221/222","Bramalea City Centre,","BRAMPTON","ON",501
298,"Reitmans Department Store","785 Wonderland Rd. S. Unit L5","Westmount S.C","LONDON","ON",504
343,"SMART SET","25 Peel Centre Drive, Unit 210","Bramalea City Centre,","BRAMPTON","ON",501
345,"SMART SET","300 Borough Dr. Unit #219","Scarborough Town Centre","SCARBOROUGH","ON",537
346,"SMART SET","1105 Wellington Rd. Unit #74","White Oaks Mall,","LONDON","ON",504
347,"SMART SET","509 Bayfield St.","Georgian Mall,","BARRIE","ON",507
348,"SMART SET","100 Bayshore Dr. Unit EE2-3","Bayshore Shopping Centre,","NEPEAN","ON",518
351,"SMART SET","1349 Lasalle Blvd. Unit 29B","New Sudbury S.C.","SUDBURY","ON",507
353,"SMART SET","5201 Duke St.","Scotia Square,","HALIFAX","NS",519
354,"SMART SET","21 Mic Mac Blvd.","Mic Mac Mall","DARTMOUTH","NS",519
356,"SMART SET","293 Bay St. Unit A1A/A4","Station Mall,","SAULT STE MARIE","ON",507
367,"SMART SET","2960 Kingsway Dr. Unit K5A/K6","Fairview Park Mall,","KITCHENER","ON",548
376,"SMART SET","3100 Howard Ave.,","Devonshire Mall, D7","WINDSOR","ON",504
387,"SMART SET","250 East Mall","Cloverdale Mall","ETOBICOKE","ON",501
389,"SMART SET","1200 St. Laurent Bl. Unit #141","St-Laurent S.C.","OTTAWA","ON",518
390,"SMART SET","1381 Regent St., Unit H4","Regent Mall","FREDERICTON","NB",519
401,"Reitmans Department Store","300 Borough Dr.","Scarborough Town Centre","SCARBOROUGH","ON",537
403,"Reitmans Department Store","1105 Wellington Rd. Unit #143","White Oaks Mall,","LONDON","ON",504
404,"Reitmans Department Store","100 Bayshore Dr.,","Bayshore Shopping Centre","NEPEAN","ON",518
412,"Reitmans Department Store","2300 Yonge Street","Yonge & Eglinton S.C.","TORONTO","ON",537
414,"Reitmans Department Store","21 Mic Mac Blvd., Suite 115","Mic Mac Mall,","DARTMOUTH","NS",519
422,"Reitmans Department Store","17600 Yonge Street, Unit B4","Upper Canada Mall,","NEWMARKET","ON",507
423,"Reitmans Department Store","670 University Ave.","Charlottetown Mall","CHARLOTTETOWN","PE",519
426,"Reitmans Department Store","512 Park St.","Kenora Shoppers Mall","KENORA","ON",503
430,"Reitmans Department Store","355 Hespeller Road","Cambridge Centre, Unit #204","CAMBRIDGE","ON",548
432,"Reitmans Department Store","1200 Alphonse Desjardins Blvd.","Les Galeries Chagnon","LEVIS","QC",517
435,"Reitmans Department Store","21 Cromer Avenue","Exploits Valley Mall,","GRAND FALLS-WINDSOR","NL",549
437,"Reitmans Department Store","477 Paul Street","Champlain Place","DIEPPE","NB",519
439,"Reitmans Department Store","440 King St.","King's Place","FREDERICTON","NB",519
442,"Reitmans Department Store","Queen St.","Stephenville S.C.","STEPHENVILLE","NL",549
444,"Reitmans Department Store","800 Niagara St.,","Seaway Mall, Unit K10","WELLAND","ON",548
448,"Reitmans Department Store","Sterling Mall",,"GLACE BAY","NS",519
451,"Reitmans Department Store","341-500 2nd Ave. W.","Rupert Square S.C","PRINCE RUPERT","BC",525
453,"Reitmans Department Store","312 Val D'Amour Rd., Suite #20","Sugarloaf Mall,","ATHOLVILLE","NB",519
466,"Reitmans Department Store","9256 Commercial St.","County Fair Mall","NEW MINAS","NS",519
470,"Reitmans Department Store","1500 Riverside Drive Unit #22","Timmins Square S.C.","TIMMINS","ON",507
474,"Reitmans Department Store","275 Brockville St., Units 11/12","County Fair Mall,","SMITHS FALLS","ON",518
479,"Reitmans Department Store","963 Central Ave.","Greenwood S.C","GREENWOOD","NS",519
485,"Reitmans Department Store","44 Maple Valley Rd.","Cornerbrook Plaza,","CORNER BROOK","NL",549
495,"Reitmans Department Store","500 Vanier Drive,","Labrador Mall","LABRADOR CITY","NL",549
499,"Reitmans Department Store","120 Columbus Dr.","Trinity Conception Square,","CARBONEAR","NL",549
500,"Reitmans Department Store","220 Yonge St. Unit #103","Toronto Eaton Centre,Level 1","TORONTO","ON",537
504,"Reitmans Department Store","430 Topsail Rd.","Village S.C.","ST. JOHN'S","NL",549
515,"Reitmans Department Store","4741 Lakelse Ave. Unit 316","Skeena Mall","TERRACE","BC",525
516,"Reitmans Department Store","8100 Rock Island Hwy.","Waneta Mall","TRAIL","BC",525
524,"Reitmans Department Store","19705 Fraser Hwy.","Willowbrook S.C. Unit #111","LANGLEY","BC",522
526,"Reitmans Department Store","132 Bennett Dr.","Gander S.C.","GANDER","NL",549
529,"Reitmans Department Store","1225 St.Mary's Rd. Unit #63","Vital Centre","WINNIPEG","MB",503
534,"Reitmans Department Store","800 Grand Lake Rd.,","Mayflower Mall, Unit #18","SYDNEY","NS",519
535,"Reitmans Department Store","Tamarac Dr. & Hwy.4A","Port Hawkesbury","PORT HAWKESBURY","NS",519
542,"Reitmans Department Store","134 Primrose Dr.","Lawson Heights S.C.","SASKATOON","SK",527
544,"Reitmans Department Store","935 Marine Dr.","Capilano Mall, Unit 4","NORTH VANCOUVER","BC",522
551,"Reitmans Department Store","999 Upper Wentworth St.","Limeridge Mall, Unit #151","HAMILTON","ON",548
552,"Reitmans Department Store","901 - 64th Ave. N.E.","Deerfoot Mall","CALGARY","AB",521
557,"Reitmans Department Store","2525 - 36th St. N.E.","Sunridge Mall","CALGARY","AB",521
559,"Reitmans Department Store","25-3409 rue Principale","Le Rond Point S.C.","TRACADIE-SHEILA","NB",519
561,"Reitmans Department Store","8882 170th St.West","Edmonton Mall","EDMONTON","AB",523
566,"Reitmans Department Store","69 Manitoba Dr.","Random Square S.C.","CLARENVILLE","NL",549
575,"Reitmans Department Store","150 West St.","Simcoe Town S.C. Unit RT 6-7","SIMCOE","ON",548
587,"Reitmans Department Store","11100 - 51st Avenue","Southgate S.C.","EDMONTON","AB",523
592,"Reitmans Department Store","3147 Douglas St.","Mayfair Shopping Centre","VICTORIA","BC",526
600,"Reitmans Department Store","1005 Ottawa St. N.","Stanley Park Mall","KITCHENER","ON",548
602,"Reitmans Department Store","P.O.Box 657","Peninsula Mall,","MARYSTOWN","NL",549
603,"Reitmans Department Store","159 Conception Bay Hwy.","Bay Roberts S.C.","BAY ROBERTS","NL",549
608,"Reitmans Department Store","4800 Kingsway, M1","Metropolis at Metrotown,","BURNABY","BC",522
608,"Reitmans Department Store","4800 Kingsway, M1","Metropolis at Metrotown,","BURNABY","BC",522
609,"Reitmans Department Store","9600 - 93rd Ave. Unit L126","Totem Mall","FORT ST JOHN","BC",525
609,"Reitmans Department Store","9600 - 93rd Ave. Unit L126","Totem Mall","FORT ST JOHN","BC",525
610,"Reitmans Department Store","109th Stret & Princess Eleizabeth Ave","Kingsway Garden Mall NW #281-#282","EDMONTON","AB",523
610,"Reitmans Department Store","109th Stret & Princess Eleizabeth Ave","Kingsway Garden Mall NW #281-#282","EDMONTON","AB",523
611,"Reitmans Department Store","110 Place d'Orleans Drive","Place d'Orleans, Unit #1047","ORLEANS","ON",518
611,"Reitmans Department Store","110 Place d'Orleans Drive","Place d'Orleans, Unit #1047","ORLEANS","ON",518
616,"Reitmans Department Store","250 Main St. E.","Hawkesbury Mall","HAWKESBURY","ON",518
616,"Reitmans Department Store","250 Main St. E.","Hawkesbury Mall","HAWKESBURY","ON",518
618,"Reitmans Department Store","2325 Preston Ave.","Market Mall","SASKATOON","SK",527
618,"Reitmans Department Store","2325 Preston Ave.","Market Mall","SASKATOON","SK",527
628,"Reitmans Department Store","4210 - 50th Ave.","St. Paul Shopping Centre","ST PAUL","AB",523
629,"Reitmans Department Store","475 Granville St.N.","County Fair Mall","SUMMERSIDE","PE",519
630,"Reitmans Department Store","375 Daniel St.","Arnprior Mall","ARNPRIOR","ON",518
635,"Reitmans Department Store","1919A - 8th Ave.","Humboldt Mall","HUMBOLDT","SK",527
638,"Reitmans Department Store","777 Norquay Drive, Unit 3","Southland Mall","WINKLER","MB",503
646,"Reitmans Department Store","5014 - 49th St.Unit #74","City Square Shopping Mall,","YELLOWKNIFE","NT",523
649,"Reitmans Department Store","178 PTH 12 North Unit A,","Clearspring Centre,","STEINBACH","MB",503
656,"Reitmans Department Store","900 Carmichael Lane Unit#135","Parks West Mall,","HINTON","AB",523
660,"Reitmans Department Store","133 Church St.","Antigonish Mall","ANTIGONISH","NS",519
664,"Reitmans Department Store","4802 - 51st Street Unit #10,","Valley Centre Mall","WHITECOURT","AB",523
671,"Reitmans Department Store","200 Wellington S.W.","Metro Centre Retail Concourse","TORONTO","ON",537
675,"Reitmans Department Store","King St. & Bay St., Unit #19","Commerce Court Centre,","TORONTO","ON",537
679,"Reitmans Department Store","138 Main Street","Gateway Mall","SUSSEX","NB",519
682,"Reitmans Department Store","4341 - 50th St.","Dodson Plaza","DRAYTON VALLEY","AB",523
683,"Reitmans Department Store","280 Guelph St. Unit #41/42","Georgetown Mkt Pl","GEORGETOWN","ON",548
684,"Reitmans Department Store","371A Hamilton River Rd","Goose Bay Reitmans Department Store Ctr","HAPPY VALLEY-GOOSE BAY","NL",549
685,"Reitmans Department Store","116 King St.","North Sydney Mall,","NORTH SYDNEY","NS",519
686,"Reitmans Department Store","700 Lawrence Ave. W. Unit #122","Lawrence Plaza","NORTH YORK","ON",537
694,"Reitmans Department Store","5000 Hwy. 7, Unit 413/414","Markville Shopping Centre,","MARKHAM","ON",537
695,"Reitmans Department Store","101 Signal Rd Unit #4-#5","Thickwood Shopp. Plaza","FORT MCMURRAY","AB",523
696,"Reitmans Department Store","1500 Fisher St., Unit 131","Northgate Square","NORTH BAY","ON",507
697,"Reitmans Department Store","75 Centennial Pkwy. N. unit C-07","Eastgate Square,","HAMILTON","ON",548
698,"Reitmans Department Store","352 Trunk Road","Duncan Plaza,","DUNCAN","BC",526
707,"SMART SET","477 Paul St.","Champlain Place, Unit C-010C","DIEPPE","NB",519
709,"SMART SET","109 Water St.","Waterfront Place,","SUMMERSIDE","PE",519
724,"SMART SET","48 Kenmount Road","Avalon Park Shopping Centre","ST. JOHN'S","NL",549
725,"SMART SET","390 North Front St.","Quinte Mall, Unit B5","BELLEVILLE","ON",507
727,"SMART SET","6551 No.3 Road Unit 1590A","Richmond Centre","RICHMOND","BC",522
730,"SMART SET","100 City Centre Dr. Unit #2-129","Square One S.C.,","MISSISSAUGA","ON",501
735,"SMART SET","430 Topsail Rd. Unit #34","Village S.C.,","ST. JOHN'S","NL",549
736,"SMART SET","419 King Street West, #2075","Oshawa Centre,","OSHAWA","ON",502
739,"SMART SET","519 Westmorland Rd., Unit #J-11","McAllister Place,","SAINT JOHN","NB",519
746,"SMART SET","7001 Mumford Rd. Unit 107/108","Halifax S.C.,","HALIFAX","NS",519
747,"SMART SET / Off Site","218 Yonge St.","Toronto Eaton Centre","TORONTO","ON",537
749,"SMART SET","2929 Barnet Hwy.","Coquitlam Centre","COQUITLAM","BC",522
751,"SMART SET","1 Water St. E. Unit T16A","Cornwall Square","CORNWALL","ON",518
753,"SMART SET","1225 St.Mary's Rd. Unit #11","St.Vital Centre","WINNIPEG","MB",503
754,"SMART SET","3292 Dunmore Rd. S.E.","Medicine Hat Mall","MEDICINE HAT","AB",521
760,"SMART SET","234-3147 Douglas St.","Mayfair S.C.","VICTORIA","BC",526
761,"SMART SET","1555 Regent Ave.","Kildonan Place","WINNIPEG","MB",503
763,"SMART SET","1500 Fisher St. Unit 132","Northgate Square","NORTH BAY","ON",507
764,"SMART SET","689 Westville Rd.","Highland Mall","NEW GLASGOW","NS",519
770,"SMART SET","1933 Regent St.E.","South Ridge Mall","SUDBURY","ON",507
773,"SMART SET","1485 Portage Ave.","Polo Park Shopping Centre","WINNIPEG","MB",503
774,"SMART SET","1320 Trans-Canada Hwy. Unit 108","Aberdeen Mall,","KAMLOOPS","BC",525
778,"SMART SET","2525 - 36th St. N.E.","Sunridge Mall","CALGARY","AB",521
780,"SMART SET","8882 - 170th St.N.W Unit#1077","Edmonton Mall","EDMONTON","AB",523
781,"SMART SET","6631 Island Hwy N.","Woodgrove Centre","NANAIMO","BC",526
783,"SMART SET","#238 - 9855 Austin Road,","Lougheed Mall","BURNABY","BC",522
789,"SMART SET","11100th Street & 51st Avenue","South Gate S. C.","EDMONTON","AB",523
793,"SMART SET","2271 Harvey Ave.","Orchard Park Shopping Centre","KELOWNA","BC",525
801,"SMART SET","110 Place d'Orleans Drive","Place d' Orleans","ORLEANS","ON",518
825,"SMART SET","670 University Ave.","Charlottetown S.C.","CHARLOTTETOWN","PE",519
830,"SMART SET","4800 Kingsway, Unit #F8A","Metropolis at Metrotown,","BURNABY","BC",522
831,"SMART SET","201 - 1st Ave. S. Unit T026","Midtown Plaza","SASKATOON","SK",527
834,"SMART SET","7652 Tecumseh Rd.E.","Tecumseh Mall","WINDSOR","ON",504
847,"SMART SET","1100 Pembroke St. E.","Pembroke Mall","PEMBROKE","ON",518
850,"SMART SET","935 Marine Dr., Unit 95","Capilano Mall","NORTH VANCOUVER","BC",522
855,"SMART SET","393 Portage Place","Portage Place","WINNIPEG","MB",503
856,"SMART SET","785 Wonderland Rd.S., Unit E9/10","Westmount S.C","LONDON","ON",504
869,"SMART SET","150 West St., Unit RT 28","Simcoe Town Centre","SIMCOE","ON",548
870,"SMART SET","7025 - 120th Street","Scottsdale Mall","DELTA","BC",522
871,"SMART SET","1005 Ottawa St. N.","Stanley Park Mall","KITCHENER","ON",548
873,"SMART SET","9600 - 93rd Avenue","Totem Mall","FORT ST JOHN","BC",525
876,"SMART SET","#L15 66th St.& 137th Ave.","Londonderry Mall","EDMONTON","AB",523
880,"SMART SET / Off Site","King St. & Bay St.,","Commerce Court Centre,","TORONTO","ON",537
882,"SMART SET","285 Geneva St. Unit #E8A","Fairview Mall","ST CATHARINES","ON",548
884,"SMART SET","2441 King George Hwy, Unit 47","Northumberland Square","MIRAMICHI","NB",519
888,"SMART SET","800 Grand Lake Road Unit #46","Mayflower Mall","SYDNEY","NS",519
889,"SMART SET","3401 Dufferin St.","Yorkdale S.C.","NORTH YORK","ON",537
893,"SMART SET","1680 Richmond St.N.","Masonville Place","LONDON","ON",504
894,"SMART SET","501 - 1st Ave. S.","Park Place Shopping Centre","LETHBRIDGE","AB",521
895,"SMART SET","945 Gardiners Rd. Unit #L-026A","Cataraqui Town Centre","KINGSTON","ON",518
896,"SMART SET","109 Street & Princess Elizabeth Ave.","Kingsway Garden Mall,","EDMONTON","AB",523
899,"SMART SET","900 Maple Ave. Unit #A33","Mapleview Centre,","BURLINGTON","ON",548
1001,"Reitmans Department Store","150 First St. Unit #13&14","Orangeville Mall","ORANGEVILLE","ON",507
1003,"Reitmans Department Store","200 Broadway St. Unit #B8","Tillsonburg Town Ctre","TILLSONBURG","ON",504
1004,"Reitmans Department Store","1450 Main Street S.","Dauphin Market Place Mall","DAUPHIN","MB",503
1007,"Reitmans Department Store","2850 Shaughnessy St.","Shaughnessy Sta.","PORT COQUITLAM","BC",522
1008,"Reitmans Department Store","864 Memorial Avenue",,"THUNDER BAY","ON",503
1010,"Reitmans Department Store","397 Bayfield Road, Unit #A3","Suncoast Mall,","GODERICH","ON",504
1015,"Reitmans Department Store","1416 Island Highway","Discovery Harbour S.C.","CAMPBELL RIVER","BC",526
1017,"Reitmans Department Store","11680 Steveston Hwy","Ironwood Plaza,","RICHMOND","BC",522
1018,"Reitmans Department Store","140 Mayfield Common","Mayfield Common,","EDMONTON","AB",523
1019,"Reitmans Department Store","5663 Signal Hill Centre","Signal Hill Centre","CALGARY","AB",521
1020,"Reitmans Department Store","4841 Yonge St. Unit #235","Sheppard Centre,","NORTH YORK","ON",537
1023,"Reitmans Department Store","519 Westmorland Road, Unit #C-5","McAllister Place,","SAINT JOHN","NB",519
1024,"Reitmans Department Store","194A Chain Lake Drive","First Pro Bayer's Lake P.C.","HALIFAX","NS",519
1027,"Reitmans Department Store","5111 Northland Dr.N.W.Unit #860","Northland Village Sh,","CALGARY","AB",521
1028,"Reitmans Department Store","945 Gardiners Rd., Unit #l-060","Cataraqui Town Centre,","KINGSTON","ON",518
1030,"Reitmans Department Store","32555 London Ave., Unit #334","The Junction,","MISSION","BC",522
1031,"Reitmans Department Store","3003 Danforth Ave., Unit #8","Shoppers World Danforth","EAST YORK","ON",537
1032,"Reitmans Department Store","675 Empress Street, Unit #1","Polo Festival,","WINNIPEG","MB",503
1033,"Reitmans Department Store","121 Trinity Drive, Unit 6","Wheeler Park Power Centre,","MONCTON","NB",519
1036,"Reitmans Department Store","200 Windflower Gate, Unit #600","Piazza del Sole","WOODBRIDGE","ON",501
1037,"Reitmans Department Store","# 510 - 85 Shawville Blvd. S.E.","Shawnessy Town Centre,","CALGARY","AB",521
1038,"Reitmans Department Store","#80, - 993 Fir Street","Village Market Shopping Centre","SHERWOOD PARK","AB",523
1042,"Reitmans Department Store","2501 Hyde Park Gate","Hyde Park Gate","OAKVILLE","ON",501
1043,"Reitmans Department Store","140 Kingston Road E., Unit #K3","Durham Centre","AJAX","ON",502
1044,"Reitmans Department Store","109 Fanshawe Park Road E.","Fanshawe Park Place,","LONDON","ON",504
1045,"Reitmans Department Store","4211 - 70th Avenue","Cornerstone Lloydminster,","LLOYDMINSTER","AB",523
1046,"Reitmans Department Store","#203 - 2331 - 66th Street N.W.","Mill Woods Town Centre,","EDMONTON","AB",523
1047,"Reitmans Department Store","#162 - 6800 48th Avenue","Cornerstone Power Centre,","CAMROSE","AB",523
1050,"Reitmans Department Store","1570 - 18th Street, Unit #69C","Shoppers Mall Brandon","BRANDON","MB",503
1051,"Reitmans Department Store","3803 Calgary Trail N.W.Unit #178","Southpark Centre","EDMONTON","AB",523
1052,"Reitmans Department Store","40 Great Lakes Drive, Unit #A3","Trinity Common,","BRAMPTON","ON",501
1053,"Reitmans Department Store","1585 Kenaston Blvd. Unit 2","First Pro Kenaston Place,","WINNIPEG","MB",503
1055,"Reitmans Department Store","1632-14th Ave. NW, Unit #1680","North Hill Shopping Centre,","CALGARY","AB",521
1056,"Reitmans Department Store","333 Brooksbank Ave., Suite #740","Park & Tilford Centre","NORTH VANCOUVER","BC",522
1057,"Reitmans Department Store","11 Bellerose Drive, Unit #28","Inglewood Towne Centre","ST ALBERT","AB",523
1058,"Reitmans Department Store","3091 - 152nd Street","South Point Exchange","SURREY","BC",522
1059,"Reitmans Department Store","689 Westville Rd., Unit #330","Highland Square,","NEW GLASGOW","NS",519
1061,"Reitmans Department Store","300 Eagleson Road, Unit #30/31","Hazeldean Mall","KANATA","ON",518
1062,"Reitmans Department Store","814 Warden Avenue, Unit #101","First Warden Shopping Centre","SCARBOROUGH","ON",537
1063,"Reitmans Department Store","7190 Morrison Street, Unit #4","RioCan Niagara Falls","NIAGARA FALLS","ON",548
1065,"Reitmans Department Store","2004 - 50th Avenue, Unit #177","Southpointe Common,","RED DEER","AB",521
1066,"Reitmans Department Store","1380 London Road, Unit #135","Lambton Mall","SARNIA","ON",504
1067,"Reitmans Department Store","50 Pinebush Rd., Unit #3","First Pro Cambridge Power Centre","CAMBRIDGE","ON",548
1068,"Reitmans Department Store","1055 Hillside Drive Unit #410","First Pro Hillside Centre,","KAMLOOPS","BC",525
1069,"Reitmans Department Store","420 Vansickle Road, Unit #1","First Pro Garden City Centre","ST CATHARINES","ON",548
1071,"Reitmans Department Store","354 Government Road East, Building B","First Pro TransCanada Centre","KAPUSKASING","ON",507
1072,"Reitmans Department Store","3655 Portage Avenue, Unit #1","First Pro Assiniboine,","WINNIPEG","MB",503
1073,"Reitmans Department Store","95 Aberdeen Avenue, Unit #4","First Pro Stavanger Centre","ST. JOHN'S","NL",549
1074,"Reitmans Department Store","498 Bayfield Street","First Pro Baystone Centre,","BARRIE","ON",507
1075,"Reitmans Department Store","2055 Tenth Line Road Unit #2,","Trinity Common,","ORLEANS","ON",518
1076,"Reitmans Department Store","821 Golf Links Rd","Meadowlands Power Centre","ANCASTER","ON",548
1078,"Reitmans Department Store","13534 - 137th Ave. NW","Skyview Power Centre,","EDMONTON","AB",523
1079,"Reitmans Department Store","1555 Talbot Rd., Unit #600","Windsor Crossing Premium Outlets,","WINDSOR","ON",504
1080,"Reitmans Department Store","288 Erie Street South, B3","RioCan Centre Leamington,","LEAMINGTON","ON",504
1081,"Reitmans Department Store","3175 Cliffe Avenue, Unit #105","First Pro Seaside Centre,","COURTENAY","BC",526
1082,"Reitmans Department Store","6075 Mavis Road, Unit #11","Heartland Town Centre,","MISSISSAUGA","ON",501
